관리번호,대피소 명칭,대피소 상세주소,면적,수용가능최대인원,수용가능인원,행정동 코드,행정동 명칭,비고,구
47316,성북초등학교,성북동 66-1,,1040,0,11290525,성북동,,성북구
47317,길음초등학교,길음1동 635-7,,1300,0,11290660,길음1동,,성북구
47318,신일중학교,미아동 193-1,,1022,0,11305535,미아동,,강북구
47319,송중초등학교,미아동 94-1(오현로 9),,40,0,11305545,송중동,,강북구
47320,서울잠전초등학교,잠실본동 229,,1400,0,11710650,잠실본동,,송파구
47321,한국예술고,홍익동 150(도선길 18),,247,0,11200535,왕십리도선동,,성동구
47322,한양사범대,사근동 223(사근동길 404),,188,0,11200550,사근동,,성동구
47323,성답교회,용답동 166-1(용답동중앙길 76),,214,0,11200790,용답동,,성동구
47324,청량리동 주민센터,청량리 57-6,,0,0,11230705,청량리동,,동대문구
47325,천주교수유동성당,수유동 233 (삼각산로 165),,746,0,11305620,수유2동,,강북구
47326,서울방학초등학교,방학2동 302 (도당로 9길 34),,2109,0,11320700,방학2동,,도봉구
47327,중동고등학교,일원1동 618 (일원로 7),,800,0,11680730,일원1동,,강남구
47328,영남중학교,대림동 735,,800,0,11560720,대림3동,,영등포구
47329,신내초등학교,신내1동 441(용마산로125 나길22),,1600,0,11260680,신내1동,,중랑구
47330,연희미용고등학교,가리봉동 137-21,,0,0,11530595,가리봉동,,구로구
47331,구로3동 주민센터,구로3동197-17 에이스테크노타워1차 1층 107호,,0,0,11530540,구로3동,,구로구
47332,언북초등학교,청담동 27(삼성로 서26길42),,2474,0,11680565,청담동,,강남구
47333,월곡감리교회,월곡2동 29-139,,40,0,11290725,월곡2동,,성북구
47334,오현초등학교,번동 248 (월계로221),,104,0,11305606,번3동,,강북구
47335,중원초등학교,중계2동 502(노원구 섬밭길 316),,490,0,11350625,중계2.3동,,노원구
47336,계상초등학교,상계5동 447-1(노원구 안산중앙길 15),,1355,0,11350670,상계5동,,노원구
47337,상원초등학교,상계9동 645(노원구 늘푸른3길 59),,1480,0,11350710,상계9동,,노원구
47338,서울개명초등학교,,,0,0,11530760,개봉3동,,구로구
47339,암사3동 주민센터,강동구 암사동 414-2,,0,0,11740590,암사3동,,강동구
47340,대세빌딩,천호3동 155-7,,0,0,11740620,천호3동,,강동구
47341,선화예술학교(중학교),능동 25,,0,0,11215780,능동,,광진구
47342,장위초등학교,장위2동 68-8,,1369,0,11290770,장위2동,,성북구
47343,인수초등학교,수유동 551-19 (인수봉로 269),,2917,0,11305660,인수동,,강북구
